Player,FantPt,FanPosRank,FanOvRank
Tony Lippett\LippTo00,,216,
Sean Mannion\MannSe00,,67,
Bradley Marquez\MarqBr00,,217,
Freddie Martino\MartFr00,,238,
A.J. McCarron\McCaA.00,,65,
Max McCaffrey\McCaMa01,,226,
Tanner McEvoy\McEvTa01,,229,
Jaydon Mickens\MickJa01,,230,
Steven Mitchell\MitcSt02,,207,
Dare Ogunbowale\OgunDa00,,163,
Senorise Perry\PerrSe00,,156,
Thomas Rawls\RawlTh00,,159,
Keenan Reynolds\ReynKe00,,164,
Cooper Rush\RushCo00,,68,
Alonzo Russell\RussAl01,,208,
Mark Sanchez\SancMa00,,64,
Matt Schaub\SchaMa00,,66,
Mason Schreck\SchrMa00,,129,
Boston Scott\ScotBo02,,160,
Da'Mari Scott\ScotDa02,,239,
Cam Sims\SimsCa00,,220,
Matthew Slater\SlatMa00,,232,
Nate Solder\SoldNa00,,126,
Brandon Tate\TateBr00,,231,
Mike Thomas\ThomMi04,,222,
Danny Vitale\VitaDa00,,152,
Clive Walford\WalfCl00,,130,
Mike Wallace\WallMi00,,224,
Brandon Weeden\WeedBr00,,70,
Markus Wheaton\WheaMa00,,240,
Cole Wick\WickCo00,,121,
Jonathan Williams\WillJo07,,153,
Deon Yelder\YeldDe00,,135,
Jacoby Brissett\BrisJa00,-1,72,
Brian Hoyer\HoyeBr00,-1,71,
J'Mon Moore\MoorJM00,-1,241,
Geno Smith\SmitGe00,-1,73,
Rod Streater\StreRo00,-1,242,
Robert Turbin\TurbRo00,-1,166,
Kaelin Clay\ClayKa00,-2,244,
JJ Jones\JoneJJ00,-2,243,
Kyle Lauletta\LaulKy00,-2,74,
Riley McCarron\McCaRi00,-2,246,
Jojo Natson\NatsJo00,-2,245,
