Rk_x,Player,Tm,Predicted Receiving Yards,Predicted Receiving Touchdowns,Predicted Receiving Fumbles,Age,Pos,G,GS,Tgt,Rec,Ctch%,Yds,Y/R,TD,1D,Lng,Y/Tgt,R/G,Y/G,Fmb,Rk_y,FantPt,FanPosRank,FanOvRank
110,Chris Carson,SEA,204.8665747,1.470469308,1.933674872,25,RB,15,15,47,37,0.79,266,7.2,2,10,21,5.7,2.5,17.7,7,18,196,9,18
111,Gerald Everett,LAR,338.4369577,2.012780942,0.488631595,25,te,13,2,60,37,0.62,408,11,2,22,33,6.8,2.8,31.4,0,208,53,28,
112,Adam Humphries,TEN,323.0620247,1.992865228,0.623001008,26,wr,12,3,47,37,0.79,374,10.1,2,20,30,8,3.1,31.2,1,220,50,85,
113,Kareem Hunt,CLE,302.3130222,1.636397741,0.743076856,24,rb,8,3,44,37,0.84,285,7.7,1,17,29,6.5,4.6,35.6,1,184,64,54,
114,Jordan Akins,HOU,319.4359727,1.989162169,0.463830068,27,TE,16,9,55,36,0.66,418,11.6,2,21,53,7.6,2.3,26.1,0,204,54,26,
115,Cameron Brate,TAM,243.9213301,2.36759535,0.467214926,28,te,16,6,55,36,0.66,311,8.6,4,21,37,5.7,2.3,19.4,0,200,55,24,
116,Nick Chubb,CLE,206.6334151,0.901698214,1.440223256,24,RB,16,16,49,36,0.74,278,7.7,0,13,32,5.7,2.3,17.4,3,9,219,6,9
117,David Johnson,ARI,304.4926654,2.271769944,0.79871376,28,RB,13,9,47,36,0.77,370,10.3,4,17,31,7.9,2.8,28.5,1,119,106,37,
118,Breshad Perriman,TAM,500.4318059,3.003491866,0.65131547,26,wr,14,4,69,36,0.52,645,17.9,6,29,44,9.3,2.6,46.1,0,124,102,43,
119,Jalen Richard,OAK,253.2402693,1.449523175,0.709885269,26,,16,0,43,36,0.84,323,9,0,15,33,7.5,2.3,20.2,2,229,47,66,
120,Irv Smith Jr.,MIN,244.9672323,1.925720074,0.560074615,21,te,16,7,47,36,0.77,311,8.6,2,17,29,6.6,2.3,19.4,1,239,43,39,
121,Demaryius Thomas,NYJ,384.1072587,1.778057165,0.500485301,32,WR,11,10,58,36,0.62,433,12,1,22,47,7.5,3.3,39.4,0,223,49,86,
122,DeAndre Washington,OAK,228.1902223,1.305975542,0.556782635,26,rb,16,3,41,36,0.88,292,8.1,0,10,28,7.1,2.3,18.3,0,140,86,42,
123,Allen Lazard,GNB,359.5675774,2.210592593,0.505441131,24,wr,16,3,52,35,0.67,477,13.6,3,24,43,9.2,2.2,29.8,0,176,68,68,
124,Phillip Lindsay,DEN,153.7085126,0.959625922,0.822812702,25,RB,16,16,48,35,0.73,196,5.6,0,9,36,4.1,2.2,12.3,0,49,163,19,49
125,Joe Mixon,CIN,215.0409369,1.678991914,0.910712289,23,RB,16,15,45,35,0.78,287,8.2,3,14,33,6.4,2.2,17.9,0,23,190,11,23
126,Dare Ogunbowale,TAM,227.6601888,1.40473646,0.686699138,25,,16,0,46,35,0.76,286,8.2,0,14,21,6.2,2.2,17.9,2,251,40,73,
127,Jonnu Smith,TEN,332.5430323,2.169570669,0.503132789,24,TE,16,14,44,35,0.8,439,12.5,3,16,57,10,2.2,27.4,0,172,70,17,
128,Geronimo Allison,GNB,227.8752294,1.845540118,0.694781738,25,wr,16,6,55,34,0.62,287,8.4,2,16,31,5.2,2.1,17.9,2,245,41,92,
129,James Conner,PIT,237.3338231,1.843202015,0.840416609,24,RB,10,10,38,34,0.9,251,7.4,3,14,26,6.6,3.4,25.1,1,111,112,33,
130,Darren Fells,HOU,262.9065239,2.986615227,0.524648114,33,TE,16,14,48,34,0.71,341,10,7,22,24,7.1,2.1,21.3,0,157,76,13,
131,Ryan Griffin,NYJ,269.1864306,2.525575574,0.501043217,29,TE,13,13,41,34,0.83,320,9.4,5,19,45,7.8,2.6,24.6,0,183,64,20,
131,Ryan Griffin,NYJ,274.6774172,2.711023453,0.287797207,29,TE,13,13,41,34,0.83,320,9.4,5,19,45,7.8,2.6,24.6,0,508,1,62,
132,O.J. Howard,TAM,366.0511901,1.743345425,0.5979253,25,TE,14,14,53,34,0.64,459,13.5,1,23,33,8.7,2.4,32.8,1,219,50,31,
