Player,Tm,Age,Pos,G,GS,Tgt,Rec,Ctch%,Yds,Y/R,TD,1D,Lng,Y/Tgt,R/G,Y/G,Fmb
Mike McNeill\McNeMi00,STL,25,,14,0,1,1,100.00%,5,5,0,0,5,5,0.1,0.4,0
Brad Meester\MeesBr20,JAX,36,C,16,16,1,1,100.00%,9,9,0,1,9,9,0.1,0.6,2
Ben Obomanu\ObomBe00,NYJ,30,,3,0,1,1,100.00%,8,8,0,0,8,8,0.3,2.7,0
Kassim Osgood\OsgoKa00,SFO,33,,14,0,1,1,100.00%,17,17,0,0,17,17,0.1,1.2,0
Michael Palmer\PalmMi00,PIT,25,,16,0,1,1,100.00%,8,8,0,0,8,8,0.1,0.5,0
Donald Penn\PennDo20,TAM,30,LT,16,16,1,1,100.00%,1,1,1,1,1,1,0.1,0.1,0
David Reed\ReedDa00,IND,26,,7,0,3,1,33.30%,2,2,0,1,2,0.7,0.1,0.3,0
Konrad Reuland\ReulKo00,NYJ,26,,10,0,3,1,33.30%,7,7,0,0,7,2.3,0.1,0.7,0
Darius Reynaud\ReynDa00,2TM,29,,9,0,2,1,50.00%,4,4,0,0,4,2,0.1,0.4,1
Dante Rosario\RosaDa00,CHI,29,te,15,3,4,1,25.00%,13,13,0,1,13,3.3,0.1,0.9,0
Evan Royster\RoysEv00,WAS,26,,10,0,1,1,100.00%,3,3,0,0,3,3,0.1,0.3,0
Samson Satele\SateSa20,IND,29,C,13,13,1,1,100.00%,0,0,0,0,0,0,0.1,0,0
Alex Smith*\SmitAl03,KAN,29,QB,15,15,1,1,100.00%,-4,-4,0,0,-4,-4,0.1,-0.3,8
Geno Smith\SmitGe00,NYJ,23,QB,16,16,1,1,100.00%,13,13,0,1,13,13,0.1,0.8,8
Matt Spaeth\SpaeMa00,PIT,30,te,4,2,2,1,50.00%,11,11,1,1,11,5.5,0.3,2.8,0
Kory Sperry\SperKo00,ARI,28,te,8,2,1,1,100.00%,16,16,0,1,16,16,0.1,2,0
Joe Staley*\StalJo20,SFO,29,LT,16,16,1,1,100.00%,14,14,0,1,14,14,0.1,0.9,0
Brandon Tate\TateBr00,CIN,26,,16,0,2,1,50.00%,6,6,0,0,6,3,0.1,0.4,2
Tyrod Taylor\TaylTy00,BAL,24,,3,0,1,1,100.00%,6,6,0,0,6,6,0.3,2,0
